case,mach,level,refinement_factor,status,failure_reason,n_cells,h_m,solver_wall_time_s,total_wall_time_s,max_non_orthogonality_deg,max_skewness,max_aspect_ratio,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,cd_total_converged,cd_total_peak_to_peak_rel,cd_total_drift_rel,cd_fore_converged,cd_fore_peak_to_peak_rel,cd_fore_drift_rel,max_co,is_restart,upstream_clearance_fraction,restart_source_case,restart_source_iteration,restart_blocks_run,n_candidates
sphere_M3_coarse,3.0,coarse,1,OK,,3072,0.009775940595119418,92.86055541600217,101.92220345602254,38.66889339,0.9106995779,4.020676809,0.8444017431768727,0.8444017431768727,,forebody,1.923733413811215,0.8443684670422656,0.10848430399924963,0.21696860799849926,0.008009891750852954,1.5614186884913495,0.0051298808,11963.0913,11964.859696497282,11993.2176,11.964859696497282,0.34055066114,11.674249493,15000,10000,1,True,0.00048470079574490705,4.6332576694526066e-05,True,0.00048470079574490705,4.6332576694526066e-05,0.2,False,,,,,1
sphere_M3_medium,3.0,medium,2,OK,,12288,0.004887970297559709,498.4557844589872,508.11704925098456,39.16725997,0.9222124122,4.499662404,0.8461282616531345,0.8461282616531345,,forebody,1.9247600845459625,0.8460388468514196,0.10790541521210592,0.21581083042421184,0.00392452620328651,1.5319178199932362,0.002561838599999991,12044.31102,12044.70136101612,12062.00911,12.04470136101612,3.5259559565,11.674553278,20000,20000,0,True,0.0007633476996629906,2.7636163121338493e-05,True,0.0007633476996629906,2.7636163121338493e-05,0.2,False,,,,,1
sphere_M3_fine_Co0p1,3.0,fine,4,OK,,49152,0.0024439851487798544,1462.8000000000002,821.3648199579911,39.41857824,0.9281123365,4.887972233,0.8469180989657618,0.8469180989657618,,forebody,1.9269193948650083,0.8468437412506152,0.10750804443588714,0.21501608887177429,0.0019645498995134736,1.5457632249203157,0.0012709255000000058,12076.02763,12078.246649920731,12076.02763,12.07824664992073,2.3780507535,16.18785986,110000,40000,0,True,0.0003265354110450587,1.593890273361108e-06,True,0.0003265354110450587,1.593890273361108e-06,0.1,True,0.4754837939502735,sphere_M3_fine,100000.0,2.0,3
sphere_M6_coarse,6.0,coarse,1,OK,,3072,0.008123727290539706,63.328752624991466,72.53124729197589,34.99541675,0.9384819561,5.028183414,0.8689038737159874,0.8689038737159874,,forebody,2.328587449742753,0.8688527454182009,0.0752830031024858,0.1505660062049716,0.005738085513100483,1.5543147262720687,0.003691714049999989,46271.82655,46277.058834987656,46410.91807,46.277058834987656,5.4608958135,37.098224564,10000,10000,0,True,0.0002977691740565481,3.114161099000784e-05,True,0.0002977691740565481,3.114161099000784e-05,0.2,False,,,,,1
sphere_M6_medium,6.0,medium,2,OK,,12288,0.004061863645269853,483.823481082989,493.562516749982,35.5138122,0.9494476866,5.646009721,0.870898409245509,0.870898409245509,,forebody,2.329128434292185,0.8710890761233475,0.07477990100010921,0.14955980200021843,0.002854634683512755,1.5474201224470845,0.0018447703000000065,46740.45732,46741.41159530168,46816.05964,46.74141159530168,21.981211348,37.099188113,20000,20000,0,True,0.0009098270241342604,1.769363223148516e-05,True,0.0009098270241342604,1.769363223148516e-05,0.2,False,,,,,1
sphere_M6_fine_Co0p1,6.0,fine,4,OK,,49152,0.0020309318226349265,1464.1,821.2890485830139,35.77604966,0.9551029376,6.195434697,0.8719855307429789,0.8719855307429789,,forebody,2.329146813002979,0.8718314331286775,0.0744795044485919,0.1489590088971838,0.0014376689029287487,1.570418790310233,0.0009154684800000007,46615.00887,46610.49501269626,46745.86895,46.610495012696255,11.813955269,69.794344842,110000,40000,0,True,0.0007672609152564633,1.5188178452181947e-05,True,0.0007672609152564633,1.5188178452181947e-05,0.1,True,0.5239920155306621,sphere_M6_fine,100000.0,2.0,3
